,thumbStatus,indexStatus,middleStatus,ringStatus,pinkyStatus,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z
64,1.0,1.0,1.0,1.0,1.0,0.405359148979187,0.7470015287399292,-0.0070276688784360886,0.3235328495502472,0.534705638885498,-0.008413862437009811,0.2884240448474884,0.4668200612068176,-0.010709601454436779,0.357279896736145,0.45377200841903687,0.024063223972916603,0.32843196392059326,0.32898813486099243,0.014346841722726822,0.3129158616065979,0.25228577852249146,-0.0002853511250577867,0.3879129886627197,0.4167504608631134,0.011794867925345898,0.3561371862888336,0.2707695960998535,0.0045915637165308,0.33667564392089844,0.17699047923088074,-0.009894916787743568,0.4236411452293396,0.4122183918952942,-0.005367283243685961,0.3971118628978729,0.26423633098602295,-0.016460241749882698,0.3798067569732666,0.17222848534584045,-0.027548493817448616,0.4667966961860657,0.432338148355484,-0.02475900948047638,0.44410640001296997,0.3173675537109375,-0.036754634231328964,0.42633944749832153,0.2447582185268402,-0.04159021005034447
65,1.0,1.0,1.0,1.0,1.0,0.4211924374103546,0.7166808843612671,-0.00885944813489914,0.3394696116447449,0.49874594807624817,-0.00936848297715187,0.3059394359588623,0.43153882026672363,-0.011147266253829002,0.3706399202346802,0.4144633412361145,0.023920880630612373,0.3433505892753601,0.29354292154312134,0.015648122876882553,0.33074578642845154,0.2220079004764557,0.0009450875222682953,0.40426814556121826,0.3756628632545471,0.012111545540392399,0.3745119869709015,0.23313242197036743,0.0055255768820643425,0.35615646839141846,0.14514991641044617,-0.010458621196448803,0.441716730594635,0.37211188673973083,-0.004740123171359301,0.41756942868232727,0.2241671085357666,-0.016636477783322334,0.3999274671077728,0.13234785199165344,-0.03049318492412567,0.48640528321266174,0.3937205970287323,-0.023805266246199608,0.46527135372161865,0.2761269211769104,-0.03775765746831894,0.4493183195590973,0.20119807124137878,-0.04503621160984039
66,1.0,1.0,1.0,1.0,1.0,0.44405901432037354,0.6881460547447205,-0.015500633977353573,0.35446324944496155,0.48522627353668213,-0.02647833526134491,0.323621541261673,0.40329432487487793,-0.03266090154647827,0.3950422704219818,0.39273717999458313,0.016642654314637184,0.37046200037002563,0.2701256275177002,0.003276083618402481,0.3570750951766968,0.1944044828414917,-0.014887821860611439,0.42939886450767517,0.35350093245506287,0.00735020637512207,0.40040308237075806,0.20822300016880035,-0.001576752052642405,0.38055890798568726,0.11984312534332275,-0.016894454136490822,0.4671667218208313,0.3470788896083832,-0.007692521903663874,0.4397040903568268,0.20081107318401337,-0.019334860146045685,0.418577641248703,0.11236461997032166,-0.029416944831609726,0.5115216970443726,0.3654935359954834,-0.025956394150853157,0.4907611310482025,0.2510698139667511,-0.038858428597450256,0.47274860739707947,0.17672348022460938,-0.04391900822520256
67,1.0,1.0,1.0,1.0,1.0,0.47191083431243896,0.666351854801178,-0.012852061539888382,0.3838764727115631,0.4565821886062622,-0.018620600923895836,0.35036662220954895,0.3922872841358185,-0.022791096940636635,0.4243120849132538,0.36613476276397705,0.022168703377246857,0.40000179409980774,0.24291259050369263,0.011716480366885662,0.3854725956916809,0.16861653327941895,-0.004804503172636032,0.45949846506118774,0.33182293176651,0.012597856111824512,0.4325646162033081,0.19130627810955048,0.006182200275361538,0.4122484028339386,0.10879823565483093,-0.00746135413646698,0.4977266490459442,0.32656723260879517,-0.002556577092036605,0.4717724323272705,0.18563732504844666,-0.011643050238490105,0.45266488194465637,0.10182496905326843,-0.019187700003385544,0.541591227054596,0.34555450081825256,-0.020954502746462822,0.5206059813499451,0.23264682292938232,-0.030682696029543877,0.5044729709625244,0.16120967268943787,-0.032628145068883896
68,1.0,1.0,1.0,1.0,1.0,0.5030419826507568,0.6580628156661987,-0.014986487105488777,0.41724830865859985,0.436964213848114,-0.020322753116488457,0.38040778040885925,0.36014190316200256,-0.023472074419260025,0.45414042472839355,0.36105096340179443,0.02024950459599495,0.429256409406662,0.2337614893913269,0.009879065677523613,0.4165043532848358,0.15621347725391388,-0.0062273344956338406,0.4918329417705536,0.3236626386642456,0.012230372056365013,0.46303799748420715,0.1818522959947586,0.006436709780246019,0.44277942180633545,0.09834003448486328,-0.006970934569835663,0.5325395464897156,0.31630760431289673,-0.0014947120798751712,0.5057719349861145,0.1732672154903412,-0.010408402420580387,0.4859483540058136,0.08494588732719421,-0.018558435142040253,0.5789276957511902,0.3324164152145386,-0.018456706777215004,0.5593225955963135,0.21856370568275452,-0.028936706483364105,0.5437816977500916,0.1442892849445343,-0.03187871351838112
69,1.0,1.0,1.0,1.0,1.0,0.5396978259086609,0.6590366959571838,-0.016869165003299713,0.4503854811191559,0.43006882071495056,-0.024368027225136757,0.4148411154747009,0.35081225633621216,-0.0279944259673357,0.48993363976478577,0.35384106636047363,0.015059343539178371,0.4651501774787903,0.22355657815933228,0.003917105961591005,0.45339256525039673,0.1460481435060501,-0.012335737235844135,0.5288659930229187,0.3181631565093994,0.007528579793870449,0.5005483627319336,0.1730593740940094,0.0003984035865869373,0.4801170825958252,0.0894797146320343,-0.013609868474304676,0.5711783170700073,0.31179848313331604,-0.005516968667507172,0.5453937649726868,0.16680166125297546,-0.015337765216827393,0.5259062647819519,0.07702094316482544,-0.023917945101857185,0.619154691696167,0.3279978632926941,-0.02181088924407959,0.6014482378959656,0.2139626443386078,-0.03291338309645653,0.5861168503761292,0.13783222436904907,-0.03622192516922951
70,1.0,1.0,1.0,1.0,1.0,0.5761814713478088,0.6592152118682861,-0.018523691222071648,0.4858572781085968,0.43177685141563416,-0.030330322682857513,0.44860851764678955,0.3529301881790161,-0.03618664667010307,0.5280708074569702,0.35735413432121277,0.011406461708247662,0.5027510523796082,0.22455015778541565,-0.0031107463873922825,0.49193650484085083,0.14495864510536194,-0.02173103205859661,0.5688889622688293,0.32147014141082764,0.0035513723269104958,0.5410874485969543,0.17211362719535828,-0.00640112766996026,0.5215396285057068,0.08338716626167297,-0.0222814679145813,0.6128749847412109,0.3150063455104828,-0.009934487752616405,0.5880094170570374,0.16761554777622223,-0.02156131900846958,0.57051020860672,0.07510578632354736,-0.03063649870455265,0.661315381526947,0.3317708671092987,-0.02681206725537777,0.6448458433151245,0.21728816628456116,-0.038430631160736084,0.6303655505180359,0.14066056907176971,-0.04141676053404808
71,1.0,1.0,1.0,1.0,1.0,0.6103546023368835,0.6791205406188965,-0.021149374544620514,0.523235559463501,0.4469431936740875,-0.03725782409310341,0.4865283966064453,0.364838570356369,-0.04507026448845863,0.5647480487823486,0.3701946437358856,0.004306795075535774,0.5396812558174133,0.2318197637796402,-0.012898799031972885,0.5303983092308044,0.14910583198070526,-0.03299702703952789,0.6069818139076233,0.3345414996147156,-0.0035606047604233027,0.5808186531066895,0.17981889843940735,-0.01615867204964161,0.5625770688056946,0.08871373534202576,-0.03356387838721275,0.6517943739891052,0.3302697241306305,-0.017001761123538017,0.6287848949432373,0.17670883238315582,-0.03025457076728344,0.6110969185829163,0.08238136768341064,-0.04064451903104782,0.7003067135810852,0.3507923185825348,-0.03396003693342209,0.6847956776618958,0.23404619097709656,-0.047242388129234314,0.6697233319282532,0.15522539615631104,-0.051781147718429565
72,1.0,1.0,1.0,1.0,1.0,0.6329854130744934,0.7082874774932861,-0.020534703508019447,0.5477040410041809,0.47181063890457153,-0.03478536009788513,0.5168073177337646,0.3864456117153168,-0.0416630394756794,0.5912969708442688,0.39145222306251526,0.005677720531821251,0.5713961124420166,0.2520703971385956,-0.011761781759560108,0.5655050277709961,0.1659853756427765,-0.03244561329483986,0.6347749829292297,0.3585433065891266,-0.002887539565563202,0.6112203001976013,0.19754749536514282,-0.015603930689394474,0.5982016921043396,0.09776702523231506,-0.03334049507975578,0.6797909736633301,0.3603407144546509,-0.01719026267528534,0.6583165526390076,0.2009865641593933,-0.03171238303184509,0.6450648307800293,0.10181966423988342,-0.043035224080085754,0.7298864126205444,0.38723403215408325,-0.03492133319377899,0.7140529155731201,0.2653924226760864,-0.04969988763332367,0.6996660232543945,0.18577447533607483,-0.05480720102787018
73,1.0,1.0,1.0,1.0,1.0,0.6474804878234863,0.739899218082428,-0.018665235489606857,0.5683819055557251,0.5015464425086975,-0.03223747760057449,0.544809877872467,0.41599246859550476,-0.039253316819667816,0.6160809993743896,0.425647109746933,0.010579423978924751,0.5985763669013977,0.2900598645210266,-0.004041098523885012,0.5922597646713257,0.2091207653284073,-0.022490862756967545,0.6588039994239807,0.3942742645740509,0.0006038373103365302,0.6370906829833984,0.2338952124118805,-0.00963786244392395,0.6267520785331726,0.13716739416122437,-0.026055989786982536,0.7022353410720825,0.3996140956878662,-0.015299835242331028,0.6862570643424988,0.23955754935741425,-0.02914457954466343,0.6792515516281128,0.14192694425582886,-0.04072048142552376,0.7489751577377319,0.4314879775047302,-0.034427668899297714,0.7344819903373718,0.310619592666626,-0.04852860048413277,0.7233881950378418,0.23306389153003693,-0.05345417931675911
